Epoch, Loss, Val Loss
1, 2.4870967864990234, 2.0023488998413086
2, 1.6975106000900269, 1.3667408227920532
3, 1.1508891582489014, 0.9033817052841187
4, 0.7388884425163269, 0.5363093614578247
5, 0.43523141741752625, 0.28912195563316345
6, 0.21406659483909607, 0.11971431225538254
7, 0.1433146446943283, 0.11179833114147186
8, 0.13786301016807556, 0.10387511551380157
9, 0.1326451450586319, 0.10357718914747238
10, 0.12234845012426376, 0.0905747190117836
11, 0.11471276730298996, 0.09055731445550919
12, 0.11760938167572021, 0.09870874136686325
13, 0.11599726229906082, 0.09235987067222595
14, 0.11482342332601547, 0.0860716849565506
15, 0.11633176356554031, 0.09275912493467331
16, 0.11384627968072891, 0.0859086886048317
17, 0.10850176215171814, 0.0841359794139862
18, 0.10784179717302322, 0.07972770184278488
19, 0.10382107645273209, 0.08269602060317993
20, 0.10046613216400146, 0.07418743520975113
21, 0.10429395735263824, 0.08381953835487366
22, 0.09618853777647018, 0.07037103176116943
23, 0.09560360014438629, 0.06846404075622559
24, 0.09529197961091995, 0.07244519889354706
25, 0.09646590799093246, 0.0742037445306778
26, 0.09417656064033508, 0.06897229701280594
27, 0.09133456647396088, 0.0633913055062294
28, 0.09140675514936447, 0.06539399176836014
29, 0.08863624185323715, 0.06362707167863846
30, 0.08438538759946823, 0.061906326562166214
