Epoch, Loss, Val Loss
1, 1.6066038608551025, 0.5852930545806885
2, 0.28860846161842346, 0.15592193603515625
3, 0.1866021305322647, 0.1382988691329956
4, 0.1737440824508667, 0.12481726706027985
5, 0.15473119914531708, 0.12634491920471191
6, 0.14821484684944153, 0.10231656581163406
7, 0.1405329406261444, 0.10182130336761475
8, 0.13529953360557556, 0.10031095892190933
9, 0.13039015233516693, 0.08461695909500122
10, 0.12298661470413208, 0.0811668261885643
11, 0.11789276450872421, 0.08054539561271667
12, 0.11512519419193268, 0.07459327578544617
13, 0.10951082408428192, 0.07398109883069992
14, 0.1125582903623581, 0.07964368909597397
15, 0.11060526221990585, 0.06613656133413315
16, 0.10587555915117264, 0.06294000893831253
17, 0.10378808528184891, 0.061141204088926315
18, 0.10293447971343994, 0.0720805749297142
19, 0.10262461751699448, 0.06817081570625305
20, 0.0989249050617218, 0.0584651380777359
21, 0.09610874950885773, 0.05906456336379051
22, 0.09495753049850464, 0.05434685945510864
23, 0.09095417708158493, 0.0530477836728096
24, 0.09114649146795273, 0.05915474891662598
25, 0.08692391216754913, 0.05804990977048874
26, 0.08709710091352463, 0.05274614319205284
27, 0.08421169966459274, 0.05349181964993477
28, 0.08373374491930008, 0.05191371217370033
29, 0.08485299348831177, 0.055160123854875565
30, 0.0866389274597168, 0.04677290841937065
31, 0.08538641035556793, 0.054389480501413345
32, 0.08284273743629456, 0.0483793206512928
33, 0.07842758297920227, 0.04275725409388542
34, 0.07975192368030548, 0.047184016555547714
35, 0.07689348608255386, 0.04915380850434303
36, 0.0754965990781784, 0.046106208115816116
37, 0.07656093686819077, 0.044440630823373795
38, 0.08224442601203918, 0.048407066613435745
39, 0.07958429306745529, 0.04636720195412636
40, 0.0757342278957367, 0.04683211073279381
41, 0.0783521831035614, 0.04786260426044464
42, 0.08018026500940323, 0.047600310295820236
43, 0.0800093486905098, 0.050165046006441116
44, 0.07762981951236725, 0.052366845309734344
45, 0.07763811200857162, 0.04727594181895256
46, 0.07557322829961777, 0.0512874498963356
47, 0.07992099225521088, 0.051008161157369614
48, 0.07946187257766724, 0.040291015058755875
49, 0.0756956934928894, 0.04048911854624748
50, 0.07535584270954132, 0.04169437661767006
